"Abandoned Checkouts","Abandoned Checkouts"
"Abandoned Checkout Rate","Abandoned Checkout Rate"
"Abandoned Checkout Statistics","Abandoned Checkout Statistics"
"Abandoned checkouts with completed billing method form","Abandoned checkouts with completed billing method form"
"Abandoned checkouts with completed shipping method form","Abandoned checkouts with completed shipping method form"
"Abandoned checkouts with specified email addresses","Abandoned checkouts with specified email addresses"
"Abandoned Revenue","Abandoned Revenue"
"Action","Action"
"Add after","Add after"
"Add a Note","Add a Note"
"All Store Views","All Store Views"
"Apply","Apply"
"Apply Discount Code Enabled","Apply Discount Code Enabled"
"Available Time Slots","Available Time Slots"
"Available Weekdays","Available Weekdays"
"Billing address","Billing address"
"Billing Fields Customization","Billing Fields Customization"
"Cancel","Cancel"
"Cart item %1 doesn't exist.","Cart item %1 doesn't exist."
"City","City"
"Checked by Default","Checked by Default"
"Checkout Behavior Report","Checkout Behavior Report"
"Checkout Conversion","Checkout Conversion"
"Completed In","Completed In"
"Country","Country"
"Current statistics for checkouts with billing address different from the shipping address or billing only","Current statistics for checkouts with billing address different from the shipping address or billing only"
"Custom Date Range","Custom Date Range"
"Custom Text","Custom Text"
"Date and Time","Date and Time"
"Date Only","Date Only"
"Date Range","Date Range"
"Day","Day"
"Days Between Order and Delivery Dates","Days Between Order and Delivery Dates"
"Default Values","Default Values"
"Define field names and drag and drop them to required position.","Define field names and drag and drop them to required position."
"Delete","Delete"
"Delivery Date","Delivery Date"
"Delivery Date Options","Delivery Date Options"
"Delivery is not Available During These Days and Periods","Delivery is not Available During These Days and Periods"
"Delivery Time","Delivery Time"
"Description","Description"
"Download","Download"
"Download and Install","Download and Install"
"Email address","Email address"
"Enable Address Autocomplete Suggestions","Enable Address Autocomplete Suggestions"
"Enable IP Detection","Enable IP Detection"
"Enabled","Enabled"
"End Time","End Time"
"Enter Coupon Code","Enter Coupon Code"
"Field","Field"
"Filter Data:","Filter Data:"
"For delivery questions.","For delivery questions."
"General","General"
"GeoIP Settings","GeoIP Settings"
"GeoIP2 Database","GeoIP2 Database"
"GeoIP2 Library","GeoIP2 Library"
"Get Support","Get Support"
"Get your API Key <a target='_blank' href='https://developers.google.com/places/web-service/get-api-key'>here</a>.","Get your API Key <a target='_blank' href='https://developers.google.com/places/web-service/get-api-key'>here</a>."
"Guest checkout is disabled.","Guest checkout is disabled."
"If empty the label will not be shown on the checkout page.","If empty the label will not be shown on the checkout page."
"Installed","Installed"
"Last 7 Days","Last 7 Days"
"Last Business Week","Last Business Week"
"Last Month","Last Month"
"Last time updated: %1","Last time updated: %1"
"Last time updated: <%= updatedAt %>","Last time updated: <%= updatedAt %>"
"Last Week","Last Week"
"Loading...","Loading..."
"Month","Month"
"No","No"
"Never","Never"
"Newsletter Subscription Option","Newsletter Subscription Option"
"Number Of Orders","Number Of Orders"
"One Step Checkout","One Step Checkout"
"One Step Checkout by Aheadworks","One Step Checkout by Aheadworks"
"One-page checkout is turned off.","One-page checkout is turned off."
"Order Note","Order Note"
"Order Notes Enabled","Order Notes Enabled"
"Orders Revenue","Orders Revenue"
"Payment Method","Payment Method"
"Payment method","Payment method"
"Period","Period"
"Period/Date","Period/Date"
"Period, From-To","Period, From-To"
"Period Type","Period Type"
"Quarter","Quarter"
"Readme","Readme"
"Recurrent Day of Month","Recurrent Day of Month"
"Recurrent Day of Week","Recurrent Day of Week"
"Region/State","Region/State"
"Secure Payment Label","Secure Payment Label"
"Settings","Settings"
"Shipping address","Shipping address"
"Shipping Fields Customization","Shipping Fields Customization"
"Shipping Method","Shipping Method"
"Shipping method","Shipping method"
"Show Delivery Date","Show Delivery Date"
"Show required fields only","Show required fields only"
"Single Day","Single Day"
"Sort Rows","Sort Rows"
"Start Time","Start Time"
"This Month","This Month"
"This section shows completed fields to the total number of abandoned checkouts ratio","This section shows completed fields to the total number of abandoned checkouts ratio"
"This text will be displayed under the section with Trust Seals.","This text will be displayed under the section with Trust Seals."
"Title","Title"
"Today","Today"
"Trust Seal","Trust Seal"
"Trust Seals","Trust Seals"
"Trust Seals Block","Trust Seals Block"
"Unable to retrieve payment methods. Please check input data.","Unable to retrieve payment methods. Please check input data."
"Update","Update"
"Use this report to understand when buyers drop off your checkout. Each section of the report represents how many times a field has been completed across all abandoned checkouts for a given period.","Use this report to understand when buyers drop off your checkout. Each section of the report represents how many times a field has been completed across all abandoned checkouts for a given period."
"Use Coupon Code","Use Coupon Code"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Week","Week"
"Year","Year"
"Yesterday","Yesterday"
"<a target='_blank' href='https://en.wikipedia.org/wiki/Trust_seal'>Trust seals</a> (security badges) will be displayed under the 'Place Order' button on the checkout page. Up to 3 seals can be added only.","<a target='_blank' href='https://en.wikipedia.org/wiki/Trust_seal'>Trust seals</a> (security badges) will be displayed under the 'Place Order' button on the checkout page. Up to 3 seals can be added only."
"Please use this date format: mm/dd/yyyy. For example 03/17/2006 for the 17th of March, 2006.","Please use this date format: mm/dd/yyyy. For example 03/17/2006 for the 17th of March, 2006."
"Address Line","Address Line"
"Address Line 2","Address Line 2"
"Already have an account? Login","Already have an account? Login"
"here","here"
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"First Name","First Name"
"Last Name","Last Name"
"Company","Company"
"Street Address Line","Street Address Line"
"Street Address Line 2","Street Address Line 2"
"Street Address Line 3","Street Address Line 3"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Phone Number","Phone Number"
"Name Prefix","Name Prefix"
"Middle Name/Initial","Middle Name/Initial"
"Name Suffix","Name Suffix"
"Fax","Fax"
"VAT Number","VAT Number"
"Apply Gift Card","Apply Gift Card"
"Enter the gift card code","Enter the gift card code"
"Install the <a href='https://github.com/maxmind/GeoIP2-php'>library</a> to activate geo-targeting.","Install the <a href='https://github.com/maxmind/GeoIP2-php'>library</a> to activate geo-targeting."
"Yes","Yes"
"Add","Add"
"Enable","Enable"
"Required","Required"
"Please specify a payment method.","Please specify a payment method."
"My billing and shipping address are the same","My billing and shipping address are the same"
"Google API Key","Google API Key"
"Please specify a shipping method.","Please specify a shipping method."
"Expand mini cart by default","Expand mini cart by default"
"Addresses Settings","Addresses Settings"
"Billing and Shipping Addresses are the Same by Default","Billing and Shipping Addresses are the Same by Default"
"Email","Email"
"Note left by the customer","Note left by the customer"
"Note added","Note added"
"Display Top Menu","Display Top Menu"
"If you disable the fields below, make sure to set them as optional","If you disable the fields below, make sure to set them as optional"
"Otherwise, the customers will not be able to checkout.","Otherwise, the customers will not be able to checkout."
"of","of"
"Enable Checkout Reports","Enable Checkout Reports"
"Order Review","Order Review"
"Ship here","Ship here"
"Sign up for Newsletter","Sign up for Newsletter"
"Place near previous field","Place near previous field"
"License Key","License Key"